    -12.1758697    GM1+           
     -0.2154220    GM5+           
      2.3499865    GM4-           
      3.1627994    GM2-           
      7.5060974    GM3-           
      7.7462599    GM1+           
     11.0389484    GM5+           
     -8.0300132    X1             
     -3.0658083    X3             
      0.4942720    X1             
      9.9038547    X4             
     10.7608426    X3             
     12.3110460    X2             
     -9.8435362    L2-            
     -7.1833157    L1+            
     -1.4127666    L3-            
      1.3265628    L1+            
      3.1250609    L3+            
      7.5148354    L2-            
     10.3370092    L3-            
     11.1321018    L3+            
